Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
STATE - ANDAMAN & NICOBAR ISLANDS,Total," 	93,376 "," 	80,421 "," 	12,055 ", 	137 , 	263 , 	79 , 	421 
STATE - ANDAMAN & NICOBAR ISLANDS,Rural," 	59,030 "," 	46,852 "," 	11,393 ", 	132 , 	243 , 	68 , 	342 
STATE - ANDAMAN & NICOBAR ISLANDS,Urban," 	34,346 "," 	33,569 ", 	662 , 	5 , 	20 , 	11 , 	79 
District - Nicobar,Total," 	9,959 "," 	9,301 ", 	453 , 	8 , 	123 , 	26 , 	48 
District - Nicobar,Rural," 	9,959 "," 	9,301 ", 	453 , 	8 , 	123 , 	26 , 	48 
District - Nicobar,Urban, 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
District - North & Middle Andaman,Total," 	26,327 "," 	18,641 "," 	7,362 ", 	102 , 	42 , 	13 , 	167 
District - North & Middle Andaman,Rural," 	25,586 "," 	18,017 "," 	7,245 ", 	102 , 	42 , 	13 , 	167 
District - North & Middle Andaman,Urban, 	741 , 	624 , 	117 , 	-00 , 	-00 , 	-00 , 	-00 
District - South Andaman,Total," 	57,090 "," 	52,479 "," 	4,240 ", 	27 , 	98 , 	40 , 	206 
District - South Andaman,Rural," 	23,485 "," 	19,534 "," 	3,695 ", 	22 , 	78 , 	29 , 	127 
District - South Andaman,Urban," 	33,605 "," 	32,945 ", 	545 , 	5 , 	20 , 	11 , 	79 
STATE - ANDHRA PRADESH,Total," 	21,024,534 "," 	19,377,222 "," 	1,450,876 "," 	55,005 "," 	44,034 "," 	17,489 "," 	79,908 "
STATE - ANDHRA PRADESH,Rural," 	14,246,309 "," 	12,782,453 "," 	1,312,644 "," 	33,391 "," 	36,983 "," 	13,624 "," 	67,214 "
STATE - ANDHRA PRADESH,Urban," 	6,778,225 "," 	6,594,769 "," 	138,232 "," 	21,614 "," 	7,051 "," 	3,865 "," 	12,694 "
District - Adilabad,Total," 	651,770 "," 	566,108 "," 	74,641 "," 	2,405 "," 	2,334 ", 	962 ," 	5,320 "
District - Adilabad,Rural," 	473,949 "," 	396,371 "," 	68,458 "," 	1,639 "," 	2,046 ", 	853 ," 	4,582 "
District - Adilabad,Urban," 	177,821 "," 	169,737 "," 	6,183 ", 	766 , 	288 , 	109 , 	738 
District - Nizamabad,Total," 	590,733 "," 	545,913 "," 	37,701 "," 	1,821 "," 	1,647 ", 	654 ," 	2,997 "
District - Nizamabad,Rural," 	462,799 "," 	421,249 "," 	35,516 "," 	1,197 "," 	1,514 ", 	537 ," 	2,786 "
District - Nizamabad,Urban," 	127,934 "," 	124,664 "," 	2,185 ", 	624 , 	133 , 	117 , 	211 
District - Karimnagar,Total," 	980,739 "," 	926,768 "," 	43,970 "," 	1,891 "," 	1,868 "," 	1,034 "," 	5,208 "
