Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Kupwara,Total," 106,777 "," 53,634 "," 59,480 "," 26,828 ", 762 ," 4,494 "," 1,445 "," 53,437 "," 1,613 "," 3,019 "," 1,808 "," 2,988 "
District - Kupwara,Rural," 96,737 "," 47,498 "," 52,608 "," 22,385 ", 595 ," 3,859 "," 1,181 "," 47,761 "," 1,205 "," 2,637 "," 1,534 "," 2,379 "
District - Kupwara,Urban," 10,040 "," 6,136 "," 6,872 "," 4,443 ", 167 , 635 , 264 ," 5,676 ", 408 , 382 , 274 , 609 
District - Badgam,Total," 99,219 "," 53,447 "," 66,814 "," 54,170 "," 1,999 "," 3,893 "," 2,509 "," 65,783 "," 3,905 "," 10,013 "," 5,848 "," 5,091 "
District - Badgam,Rural," 86,083 "," 43,303 "," 57,181 "," 43,776 "," 1,301 "," 2,994 "," 2,144 "," 55,460 "," 2,772 "," 7,957 "," 4,469 "," 3,631 "
District - Badgam,Urban," 13,136 "," 10,144 "," 9,633 "," 10,394 ", 698 , 899 , 365 ," 10,323 "," 1,133 "," 2,056 "," 1,379 "," 1,460 "
District - Leh (ladakh),Total," 20,777 "," 18,137 "," 15,210 "," 13,597 ", 574 ," 1,576 "," 2,646 "," 6,331 "," 4,859 ", 609 ," 1,289 "," 4,271 "
District - Leh (ladakh),Rural," 14,590 "," 12,425 "," 10,238 "," 8,101 ", 212 , 760 ," 2,157 "," 3,400 "," 2,552 ", 434 , 815 ," 2,404 "
District - Leh (ladakh),Urban," 6,187 "," 5,712 "," 4,972 "," 5,496 ", 362 , 816 , 489 ," 2,931 "," 2,307 ", 175 , 474 ," 1,867 "
District - Kargil,Total," 18,212 "," 14,078 "," 10,895 "," 8,008 ", 235 , 770 , 899 ," 7,733 "," 1,930 ", 488 , 652 ," 1,847 "
District - Kargil,Rural," 15,442 "," 11,651 "," 9,047 "," 6,025 ", 139 , 569 , 848 ," 5,709 "," 1,547 ", 403 , 566 ," 1,359 "
District - Kargil,Urban," 2,770 "," 2,427 "," 1,848 "," 1,983 ", 96 , 201 , 51 ," 2,024 ", 383 , 85 , 86 , 488 
District - Punch,Total," 88,878 "," 61,284 "," 37,412 "," 16,022 ", 346 ," 2,996 "," 1,908 "," 31,773 "," 2,677 ", 846 ," 2,407 "," 1,731 "
District - Punch,Rural," 81,670 "," 54,716 "," 33,599 "," 10,897 ", 220 ," 2,695 "," 1,491 "," 28,139 "," 1,660 ", 493 ," 1,384 "," 1,103 "
District - Punch,Urban," 7,208 "," 6,568 "," 3,813 "," 5,125 ", 126 , 301 , 417 ," 3,634 "," 1,017 ", 353 ," 1,023 ", 628 
District - Rajouri,Total," 124,000 "," 80,565 "," 48,002 "," 34,209 ", 673 ," 5,546 "," 2,542 "," 60,010 "," 3,017 "," 2,203 "," 7,261 "," 3,128 "
District - Rajouri,Rural," 117,183 "," 74,308 "," 45,236 "," 28,723 ", 387 ," 4,844 "," 2,182 "," 54,970 "," 2,223 "," 1,539 "," 5,383 "," 2,048 "
District - Rajouri,Urban," 6,817 "," 6,257 "," 2,766 "," 5,486 ", 286 , 702 , 360 ," 5,040 ", 794 , 664 ," 1,878 "," 1,080 "
District - Kathua,Total," 117,836 "," 91,095 "," 26,172 "," 66,944 "," 1,443 "," 4,669 "," 3,065 "," 78,220 "," 7,679 "," 17,726 "," 23,014 "," 4,687 "
District - Kathua,Rural," 100,283 "," 75,805 "," 22,260 "," 51,882 ", 726 ," 3,221 "," 2,439 "," 66,627 "," 4,996 "," 12,696 "," 15,755 "," 2,617 "
District - Kathua,Urban," 17,553 "," 15,290 "," 3,912 "," 15,062 ", 717 ," 1,448 ", 626 ," 11,593 "," 2,683 "," 5,030 "," 7,259 "," 2,070 "
