Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
STATE - ANDAMAN & NICOBAR ISLANDS,Total,"121,540","8,269",411,92,94,54,599,"95,843","15,395",783
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,"76,124","7,274",297,51,16,28,264,"63,815","3,720",659
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,"45,416",995,114,41,78,26,335,"32,028","11,675",124
District - Nicobar,Total,"11,649",124,64,6,3,2,27,"11,037",208,178
District - Nicobar,Rural,"11,649",124,64,6,3,2,27,"11,037",208,178
District - Nicobar,Urban,0,0,0,0,0,0,0,0,0,0
District - North & Middle Andaman,Total,"35,764","6,232",90,19,7,8,70,"27,948","1,116",274
District - North & Middle Andaman,Rural,"34,816","6,153",88,19,7,8,68,"27,097","1,103",273
District - North & Middle Andaman,Urban,948,79,2,0,0,0,2,851,13,1
District - South Andaman,Total,"74,127","1,913",257,67,84,44,502,"56,858","14,071",331
District - South Andaman,Rural,"29,659",997,145,26,6,18,169,"25,681","2,409",208
District - South Andaman,Urban,"44,468",916,112,41,78,26,333,"31,177","11,662",123
STATE - ANDHRA PRADESH,Total,"23,635,932","3,730,434","79,175","1,441,304","2,513,987","74,037","1,190,742","2,934,989","11,556,866","114,398"
STATE - ANDHRA PRADESH,Rural,"15,866,569","3,331,638","39,753","1,231,494","2,179,950","45,136","956,129","1,573,265","6,435,589","73,615"
STATE - ANDHRA PRADESH,Urban,"7,769,363","398,796","39,422","209,810","334,037","28,901","234,613","1,361,724","5,121,277","40,783"
District - Adilabad,Total,"759,773","27,139","3,391","92,203","289,820","2,910","12,751","169,600","159,101","2,858"
District - Adilabad,Rural,"557,371","24,292","2,097","81,347","258,995","2,310","8,328","101,816","76,158","2,028"
District - Adilabad,Urban,"202,402","2,847","1,294","10,856","30,825",600,"4,423","67,784","82,943",830
District - Nizamabad,Total,"665,977","46,202","2,191","192,496","109,345","2,126","8,937","67,198","235,893","1,589"
