Name,Type,Total,Within,Sewer,Septic,Othersys,Withslab,Withoutslab,NSopen,NShuman,NSanimal,Without,Public,Open
STATE - ANDAMAN & NICOBAR ISLANDS,Total,"93,376","65,450","2,414","58,364","1,774",477,"2,202",151,11,57,"27,926","2,285","25,641"
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,"59,030","35,540","1,381","29,780","1,565",455,"2,159",139,11,50,"23,490",517,"22,973"
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,"34,346","29,910","1,033","28,584",209,22,43,12,0,7,"4,436","1,768","2,668"
District - Nicobar,Total,"9,959","8,055",758,"7,118",111,26,39,2,0,1,"1,904",81,"1,823"
District - Nicobar,Rural,"9,959","8,055",758,"7,118",111,26,39,2,0,1,"1,904",81,"1,823"
District - Nicobar,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
District - North & Middle Andaman,Total,"26,327","12,704",399,"9,344","1,044",201,"1,555",116,0,45,"13,623",248,"13,375"
District - North & Middle Andaman,Rural,"25,586","12,288",244,"9,101","1,038",196,"1,549",115,0,45,"13,298",247,"13,051"
District - North & Middle Andaman,Urban,741,416,155,243,6,5,6,1,0,0,325,1,324
District - South Andaman,Total,"57,090","44,691","1,257","41,902",619,250,608,33,11,11,"12,399","1,956","10,443"
District - South Andaman,Rural,"23,485","15,197",379,"13,561",416,233,571,22,11,4,"8,288",189,"8,099"
District - South Andaman,Urban,"33,605","29,494",878,"28,341",203,17,37,11,0,7,"4,111","1,767","2,344"
STATE - ANDHRA PRADESH,Total,"21,024,534","10,424,003","2,615,637","6,233,616","204,395","1,039,752","101,806","165,673","10,357","52,767","10,600,531","515,370","10,085,161"
STATE - ANDHRA PRADESH,Rural,"14,246,309","4,585,620","329,120","3,223,554","116,556","773,438","87,845","25,523","3,246","26,338","9,660,689","383,046","9,277,643"
STATE - ANDHRA PRADESH,Urban,"6,778,225","5,838,383","2,286,517","3,010,062","87,839","266,314","13,961","140,150","7,111","26,429","939,842","132,324","807,518"
District - Adilabad,Total,"651,770","191,052","31,608","123,415","9,390","18,467","1,683","4,078",86,"2,325","460,718","14,704","446,014"
District - Adilabad,Rural,"473,949","65,289","8,272","39,209","4,768","10,032","1,037",817,36,"1,118","408,660","8,645","400,015"
District - Adilabad,Urban,"177,821","125,763","23,336","84,206","4,622","8,435",646,"3,261",50,"1,207","52,058","6,059","45,999"
District - Nizamabad,Total,"590,733","245,523","28,542","158,501","10,149","29,290","3,431","14,142",92,"1,376","345,210","6,739","338,471"
District - Nizamabad,Rural,"462,799","136,076","12,837","89,598","4,454","24,056","2,390","1,637",54,"1,050","326,723","5,605","321,118"
District - Nizamabad,Urban,"127,934","109,447","15,705","68,903","5,695","5,234","1,041","12,505",38,326,"18,487","1,134","17,353"
District - Karimnagar,Total,"980,739","452,865","69,494","252,968","12,846","89,560","11,044","15,034",170,"1,749","527,874","9,416","518,458"
District - Karimnagar,Rural,"746,956","255,524","19,915","133,876","7,150","81,846","9,865","1,690",160,"1,022","491,432","7,088","484,344"
District - Karimnagar,Urban,"233,783","197,341","49,579","119,092","5,696","7,714","1,179","13,344",10,727,"36,442","2,328","34,114"
District - Medak,Total,"666,764","293,838","59,542","132,692","8,559","74,880","7,392","7,965",166,"2,642","372,926","9,626","363,300"
District - Medak,Rural,"511,576","162,523","16,050","66,449","4,497","65,735","6,952","1,457",88,"1,295","349,053","8,142","340,911"
District - Medak,Urban,"155,188","131,315","43,492","66,243","4,062","9,145",440,"6,508",78,"1,347","23,873","1,484","22,389"
District - Hyderabad,Total,"881,512","868,186","805,836","38,105","4,915","8,701","1,024","6,238",200,"3,167","13,326","5,399","7,927"
District - Hyderabad,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Hyderabad,Urban,"881,512","868,186","805,836","38,105","4,915","8,701","1,024","6,238",200,"3,167","13,326","5,399","7,927"
District - Rangareddy,Total,"1,263,714","1,028,259","650,887","252,442","13,003","80,138","5,908","15,480","3,777","6,624","235,455","11,093","224,362"
