Name,Type,Total,TapwaterTreated,TapwaterUntreated,CoveredWell,UncoveredWell,Handpump,Tubewell,Spring,River,Tank,Other
District - Nicobar,Total," 9,959 "," 7,016 ", 882 , 151 , 449 , 1 , 4 , 102 , 31 , 190 ," 1,133 "
District - Nicobar,Rural," 9,959 "," 7,016 ", 882 , 151 , 449 , 1 , 4 , 102 , 31 , 190 ," 1,133 "
District - Nicobar,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District - North & Middle Andaman,Total," 26,327 "," 12,566 "," 7,619 ", 92 ," 2,111 ", 5 , 140 , 741 ," 2,154 ", 648 , 251 
District - North & Middle Andaman,Rural," 25,586 "," 11,827 "," 7,619 ", 92 ," 2,110 ", 5 , 140 , 741 ," 2,153 ", 648 , 251 
District - North & Middle Andaman,Urban, 741 , 739 , -   , -   , 1 , -   , -   , -   , 1 , -   , -   
District - South Andaman,Total," 57,090 "," 44,704 "," 6,588 ", 404 ," 3,634 ", 9 , 338 , 248 , 220 , 536 , 409 
District - South Andaman,Rural," 23,485 "," 13,618 "," 4,774 ", 339 ," 3,335 ", 6 , 296 , 243 , 188 , 406 , 280 
District - South Andaman,Urban," 33,605 "," 31,086 "," 1,814 ", 65 , 299 , 3 , 42 , 5 , 32 , 130 , 129 
District - Adilabad,Total," 651,770 "," 179,641 "," 91,221 "," 5,873 "," 93,294 "," 187,879 "," 79,354 "," 2,294 "," 3,303 "," 1,521 "," 7,390 "
District - Adilabad,Rural," 473,949 "," 70,881 "," 77,364 "," 4,721 "," 80,846 "," 172,571 "," 57,311 "," 2,189 "," 3,197 "," 1,157 "," 3,712 "
District - Adilabad,Urban," 177,821 "," 108,760 "," 13,857 "," 1,152 "," 12,448 "," 15,308 "," 22,043 ", 105 , 106 , 364 ," 3,678 "
District - Nizamabad,Total," 590,733 "," 288,950 "," 161,409 "," 2,280 "," 8,125 "," 35,731 "," 78,420 ", 391 , 335 , 823 ," 14,269 "
District - Nizamabad,Rural," 462,799 "," 210,459 "," 146,804 "," 1,916 "," 7,265 "," 32,613 "," 53,757 ", 338 , 314 , 793 ," 8,540 "
District - Nizamabad,Urban," 127,934 "," 78,491 "," 14,605 ", 364 , 860 ," 3,118 "," 24,663 ", 53 , 21 , 30 ," 5,729 "
District - Karimnagar,Total," 980,739 "," 415,688 "," 265,822 "," 5,229 "," 133,499 "," 69,990 "," 65,437 "," 1,037 ", 305 , 299 ," 23,433 "
District - Karimnagar,Rural," 746,956 "," 250,747 "," 248,629 "," 4,101 "," 119,301 "," 61,908 "," 43,079 ", 937 , 156 , 277 ," 17,821 "
